Store,DayOfWeek,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Year,Month,Day
818,5,1,0,0,4,1,490.0,2013,9,13
1003,6,0,0,0,1,1,170.0,2013,1,19
1108,4,0,0,0,1,1,540.0,2015,4,23
751,5,1,0,0,1,1,650.0,2014,2,21
1083,3,1,0,1,4,3,11540.0,2013,10,23
688,3,1,0,0,1,1,18760.0,2015,6,17
77,5,0,0,0,4,3,1090.0,2013,10,4
613,4,1,0,0,3,1,250.0,2013,6,6
74,1,1,0,0,1,1,330.0,2015,6,1
877,6,0,0,0,1,3,29190.0,2014,8,2
269,5,1,0,0,1,3,60.0,2013,2,22
923,1,1,0,0,1,1,280.0,2014,5,5
554,1,0,0,0,3,3,1200.0,2014,8,25
537,1,1,0,1,1,1,600.0,2014,4,14
110,2,1,0,1,1,3,46590.0,2013,4,9
561,2,0,0,0,4,1,14300.0,2014,1,14
1033,1,1,0,0,1,1,7680.0,2013,9,23
594,4,0,0,0,1,1,1790.0,2015,7,9
349,4,0,0,0,3,3,1490.0,2015,6,11
1045,1,1,0,1,1,3,26990.0,2014,7,28
615,4,0,0,1,4,1,730.0,2014,10,30
474,3,0,0,0,3,1,14810.0,2014,9,10
229,5,1,0,0,4,3,17410.0,2014,1,10
1017,5,1,0,1,3,1,110.0,2014,8,8
840,6,0,0,0,1,1,1070.0,2015,2,7
244,6,0,0,0,4,1,710.0,2014,10,18
367,4,1,0,0,4,3,2640.0,2014,10,9
368,2,1,0,1,4,3,1450.0,2014,8,5
796,6,0,0,0,1,3,7180.0,2013,5,25
626,5,0,0,0,3,3,10740.0,2014,5,16
304,3,1,0,0,1,1,1950.0,2014,12,3
150,4,1,0,0,3,3,31830.0,2014,5,8
956,6,0,0,0,1,1,2330.0,2013,11,9
426,4,1,0,1,1,1,250.0,2015,4,2
962,3,0,0,0,3,1,260.0,2013,6,12
234,4,1,0,0,4,1,4370.0,2014,12,4
796,2,1,0,0,1,3,7180.0,2013,9,10
190,6,0,0,0,1,1,1470.0,2014,2,8
269,2,1,0,0,1,3,60.0,2013,9,10
810,4,1,0,0,4,3,9640.0,2014,10,2
1089,4,1,0,0,4,1,5220.0,2015,1,29
582,2,0,0,1,1,1,120.0,2014,12,30
602,1,1,0,0,1,1,2710.0,2015,6,15
261,3,0,0,0,4,3,15340.0,2014,6,25
951,4,1,0,0,4,3,710.0,2014,7,3
310,4,1,0,0,1,3,2290.0,2014,6,5
150,4,1,0,0,3,3,31830.0,2015,3,5
379,5,0,0,1,4,1,6630.0,2014,1,3
84,2,1,0,0,1,3,11810.0,2014,9,16
381,3,0,0,0,1,1,1800.0,2013,11,27
741,4,0,0,0,4,3,11900.0,2013,3,14
803,1,1,0,0,4,1,1760.0,2014,5,19
830,5,0,0,0,1,3,6320.0,2014,1,31
912,3,1,0,0,3,3,3100.0,2014,1,8
798,2,1,0,0,1,1,9560.0,2013,4,9
690,1,0,0,0,1,1,100.0,2013,2,11
1096,3,1,0,1,1,3,1130.0,2014,4,16
492,5,1,0,1,1,1,1740.0,2013,5,31
917,2,1,0,1,1,1,7240.0,2015,7,14
592,2,1,0,1,1,1,2540.0,2014,7,15
42,5,1,0,0,1,3,290.0,2014,5,2
717,5,1,0,0,4,3,310.0,2013,10,11
173,4,0,0,0,1,1,350.0,2014,2,13
1069,3,1,0,0,1,3,18050.0,2013,11,20
593,6,0,0,0,1,3,33060.0,2013,5,18
591,2,0,0,1,1,3,3340.0,2013,12,31
59,6,0,0,0,1,3,2840.0,2013,4,27
411,6,0,0,0,4,3,8460.0,2014,4,26
61,5,1,0,0,1,3,350.0,2014,11,28
1045,4,0,0,1,1,3,26990.0,2013,6,27
715,1,0,0,0,1,1,14810.0,2013,1,14
321,1,0,0,0,3,3,8140.0,2015,2,23
838,1,0,0,0,4,3,6890.0,2013,9,16
60,5,0,0,0,4,3,5540.0,2014,3,28
729,5,0,0,0,3,3,8980.0,2014,9,12
521,1,1,0,0,4,1,18610.0,2015,1,12
56,3,0,0,0,4,3,6620.0,2015,2,25
579,5,1,0,0,3,1,20970.0,2013,10,11
513,2,1,0,0,1,1,400.0,2015,1,27
960,5,0,0,0,4,1,8990.0,2015,1,23
1053,3,0,0,1,1,1,1710.0,2014,12,31
600,1,1,0,0,4,3,17340.0,2014,6,30
874,3,0,0,0,1,1,3210.0,2014,6,11
106,4,1,0,0,1,1,1390.0,2013,3,7
1108,6,0,0,0,1,1,540.0,2013,6,29
562,6,0,0,1,2,3,1210.0,2014,8,30
