Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear
175,2,2015-03-17,7207,798,1,1,0,0,3,1,4130.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
176,2,2015-03-17,6287,772,1,1,0,0,1,1,3770.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
177,2,2015-03-17,5143,602,1,1,0,0,1,1,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,3,17,12
178,2,2015-03-17,13017,1071,1,1,0,0,4,1,1710.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
179,2,2015-03-17,10010,1206,1,1,0,0,1,3,480.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
180,2,2015-03-17,8030,888,1,1,0,0,4,1,5800.0,9.0,2010.0,0,0.0,0.0,None,2015,3,17,12
181,2,2015-03-17,7746,772,1,1,0,0,1,1,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,3,17,12
182,2,2015-03-17,6721,473,1,1,0,0,4,3,1390.0,0.0,0.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",2015,3,17,12
183,2,2015-03-17,5800,681,1,1,0,0,1,1,9670.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
184,2,2015-03-17,7080,605,1,1,0,0,4,3,3560.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
185,2,2015-03-17,8607,572,1,1,0,0,4,3,1860.0,5.0,2015.0,0,0.0,0.0,None,2015,3,17,12
186,2,2015-03-17,4625,425,1,1,0,0,1,1,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,3,17,12
187,2,2015-03-17,7685,952,1,1,0,0,1,3,19360.0,0.0,0.0,0,0.0,0.0,None,2015,3,17,12
188,2,2015-03-17,5330,449,1,1,0,0,4,1,850.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2015,3,17,12
189,2,2015-03-17,8812,801,1,1,0,0,4,1,5760.0,7.0,2014.0,0,0.0,0.0,None,2015,3,17,12
190,2,2015-03-17,8620,727,1,1,0,0,1,1,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,3,17,12
191,2,2015-03-17,7527,759,1,1,0,0,1,1,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,3,17,12
